@startDateOnly,@value
2020-08-10,2301.942999999882
2020-08-11,2506.1360000000323
2020-08-12,1699.2070000000028
2020-08-13,2427.1039999998907
2020-08-14,3124.1080000003017
2020-08-15,2079.7160000000003
2020-08-16,2568.7450000000854
2020-08-17,2424.2260000000315
2020-08-18,2157.625000000003
2020-08-19,1846.7300000000016
2020-08-20,2626.7569999998755
2020-08-21,1789.1529999999993
2020-08-22,2217.6460000000025
2020-08-23,2027.1550000000072
2020-08-24,2773.087999999828
2020-08-25,2390.6440000000266
2020-08-26,2472.6160000000145
2020-08-27,2738.8119999999767
2020-08-28,2699.4330000000573
2020-08-29,1979.2499999999952
2020-08-30,2206.0980000000054
2020-08-31,2498.0069999997245
2020-09-01,1883.321999999997
2020-09-02,1860.0649999999953
2020-09-03,3119.871999999699
2020-09-04,1911.8729999999923
